obral	1 clearance sale. 2 do s.t. without prior consideration, be quick to do s.t.
obralan	sale items.
obras	machine hemming.
obrol	chat.
obros	(coll.) lieutenant colonel.
observasi	observation.
observatorium	(astr.) observatory.
obsesi	obsession.
obstetri	(med.) obstetrics.
obstetrikus	(med.) obstetrician.
obyek	1. 1) object, thing. 2) (ling.) object. 3) object, aim. 2. earning on the side, moonlighting.
obyekan	sideline business, a deal.
obyektif	1 objective, unbiased. 2 objective, goal.
obyektivisme	objectivism.
obyektivitas	objectivity.
oc.	1. [opus citatum] op. cit. 2. [organizing committee].
ocak-ocak	(java) choke.
oceanografi	see oseanografi.
oceanologi	see oseonologi.
oceh	babble, talk nonsense.
ocehan	twaddle, gossip.
odalan	(bali) temple festival.
odeklonyo	see odoklonyo.
odiensi	see audiensi.
oditir	(coll.) see oditur.
oditur	(mil. leg.) military prosecuting attorney, judge advocate.
oditurat	the office of the military prosecutor.
odoh	1 ugly. 2 very stupid.
odok	(coll., jakarta) take s.t. out from inside.
odoklonyo	cologne.
odol	(coll.) toothpaste.
ofensi	(mil.) offensive attack.
ofensif	/offensif/ 1 offensive (of behavior). 2 (mil.) offensive attack.
oferte	(coll.) offer.
ofisial	(sport) an official.
ofisiil	official, formal.
ogah	1. (java, jakarta) be averse to. 2. meng-ogah shake s.t. to loosen it.
ogak-ogak	(lit.) jester.
ogal-agil	unsteady, shaky.
ogal-ogalan	see ugal-ugalan.
oh	see o 2.
oha	[orang hukuman] convict, prisoner.
ohm	(elect.) ohm.
oi!	1 hey there ! (interjection to call o.'s attention). 2 interjection to express astonishment or recognition.
oja	/ojah/ encourage, incite, egg on.
ojeg	/ojek/ motorcycle or bicycle used for public transport.
ojo	(java) do not. ojo-ngoyo ! take it easy, do not work hard !.
ojok	(coll.) make s.o. do s.t. bad.
ok	/oke/ ok.
okb	[orang kaya baru] nouveau-riche.
okd	[organisasi keamanan desa] village security organization (in the 1960s.).
oke	see ok.
oker	ocher.
okey	see ok.
okm	[orang kaya mendadak] nouveau-rich.
oknum	1 a person in a certain capacity, esp. with negative connotation. 2 (rel., lit.) person (of god).
okol	(coll.) arm-wrestling.
oksid	/oksida/ (chem.) oxide.
oksidasi	(chem.) oxidation.
oksigen	(chem.) oxygen.
oktaf	octace.
oktan	octane.
oktober	october.
oktroi	(leg.) 1 patent rights. 2 sole agency or manufacturer rights.
okulasi	grafting.
okuler	/okulir/ ocular.
okulis	oculist.
okultisme	occultism.
okupasi	1 (lit.) job. 2 illegal occupation of land.
olah	1. 1) manner, way of doing things. 2) trick. 2. olah-data data processing.
olahan	1) fickle. 2) whim, caprice.
olahraga	1 sport. 2 physical exercise.
olahragawan	sportsman, athlete.
olahragawati	female athlete.
olak	circulation of surface water. olak-an whirling, eddying, turning.
olanda	(lit.) the netherlands, dutch.
old-and-new	/ol en nu/ (coll.) ber-old-and-new celebrate new year's eve with a party.
oldcrack	/olkrek/ (coll.) experienced (of old timer).
oldefo	[old established forces] w. capitalist powers (sukarno-era phrase).
oleh	1. 1) because of. 2) by (means or agency). 2. oleh-oleh gift brought back from a trip.
oleng	1 shaky. 2 having a strong roll (of ship).
oles	meng-oles spread s.t. oily on, lubricate. oles-an a smear.
oli	oil, esp. lubricating oil.
olibol	k.o. filled doughnut.
olie	see oli.
oligarki	oligarchy.
oligarkis	oligarchic.
oliman	(coll.) person in charge of hibricating (on a ship, in a factory, etc.).
olimpiade	(sport) olympiad.
olimpik	(sport) olympic.
olok	/olok-olok/ 1 joke, funny remark. 2 ridicule.
olympiade	see olimpiade.
om	1. 1)(coll.) term of address and reference for western and westernized men, older than the speaker. 2) uncle, term of reference and address in westernized families and in certain regions. 2. (elec.) ohm.
oma	1 (coll.) term of address and reference for grandmother. 2 (coll.) grandmother, term of reference and address in westernized families and in certain regions. 3 (in some regions only) great-aunt.
ombak	wave.
ombang-ambing	bob up and down, oscillate.
ombyok	(java) bunch.
ombyokan	(coll.) 1 those belonging to a clique, party, etc. 2 commonplace.
omel	grumble and complain.
omelan	gripe, griping.
omong	1 way of talking. 2 talk, say.
ompol	(coll.) urine expelled in bed or in o.'s pants.
ompong	toothless (of mouths, combs, saw, etc.).
ompreng	1. k.o. small basket made of bamboo. 2. operate office or gvt. vehicles for personal profit.
omprengan	unregistered public transportation.
omprong	smoke.
omprongan	(coll.) lamp chimney.
ompu	honorary title among the batak.
omset	turnover (in commercial enterprise).
omslag	/omslah, omslakh/ cover (of magazine).
omzet	see omset.
on	1) 100 grams. 2) ounce.
onak	curved thorn.
onani	masturbation.
onar	noisy sensation, stir.
oncar	(java) irrigate.
oncek	(java) peel, shell.
oncom	fermanted cake made from soybean sediment.
oncor	(java) torch.
onde-onde	/ondeh-ondeh/ k.o. round fried cake made of rice flour filled with sweetened ground mung beans sprinkled with sesame seeds.
ondel-ondel	(jakarta) giant puppets used in parades.
onderdil	spare parts.
onderdistrik	subdistrict (in colonial area).
onderneming	estate (esp. in colonial era).
