glamorous	ks. sangat menarik dan mempesonakan.
great	kb. jago, juara. -ks. 1 besar. 2 terkenal, termasyur. 3 hebat. 4 tinggi. 5 baik. 6 akrab. 7 agung. 8 inf.: senang. -greatly kk. sangat, amat. g. distressed sangat sedih.
greatness	kb. kebesaran, kejayaan, kemegahan.
grecian	ks.yang berhubungan dengan yunani.
greece	kb. negeri yunani.
greed	kb. ketamakan, kelobaan, kerakusan.
greediness	= greed.
greedy	ks. tamak, loba, rakus. g. for money lapar uang. -greedily kk. dengan rakus/lahap/tamak/loba.
greek	kb. 1 orang yunani. 2 bahasa yunani. it's g. to me saya tidak mengerti sama sekali. -ks. yang berhubungan dengan yunani. the g. church gereja yunani kuno.
green	kb. 1 (warna) hijau. 2 golf : lapangan green. 3 (food) sayuran berwarna hijau (seperti bayam). -ks. 1 hijau. 2 muda, hijau. 3 yang belum berpengalaman. g. light a) lampu hijau. b) izin, permisi. g. pepper cabe(hijau).
greenback	kb. uang kertas.
greenery	kb. (j. -ries) tumbuh-tumbuhan hijau.
greenhorn	kb. orang yang belum berpengalaman, orang yang masih hijau.
greenhouse	kb. rumah/ruang kaca.
greenroom	kb. kamar tempat seniman-seniman beristirahat.
greenwich	kb. g. time waktu greenwich.
greet	kkt. menyambut (the guests). -greeting kb. 1 sambutan. warm g. sambutan yang hangat. 2 salam. to send greetings to berkirim salam kepada g. card kartu ucapan selamat.
gregarious	ks. 1 seorang yang suka berteman, yang suka sekali berkumpul-kumpul. 2 yang suka hidup berkelompok (of cattle, sheep).
grenade	kb. granat.
grew	lih grow.
grey	= gray.
greyhound	kb. sejenis anjing yang tinggi dan langsing (biasanya dipakai untuk pacuan).
grid	kb. 1 kisi tempat pemanggangan (ikan, daging). 2 jaringan (listrik, gas dsb).
griddle	kb. wajan ceper.
griddlecake	kb. kue dadar.
gridiron	kb. 1 alat masak berupa kisi, alat pemanggang. 2 sport : lapangan football/hijau.
grief	kb. dukacita, kesedihan. to come to g. mendapat kesulitan, gagal, mengalami kegagalan. grief-stricken ks. berdukacita, tertimpa kesedihan.
grievance	kb. keluhan.
grieve	kkt. berdukacita, bersedih hati (over atas).
grievous	ks. yang menyedihkan/memilukan. g. error kesalahan yang menyedihkan.
grill	kb. 1 alat pemanggang, tempat pembakar. 2 panggangan. -kkt. 1 memanggang (food). 2 memeriksa terus-menerus, menanyai dengan keras. to g. a suspect menanyai terdakwa dengan keras. grilled steak daging panggang.
grille	kb. kisi-kisi, jerejak, terali.
grillwork	kb. jerejak besi, terali dari besi, kisi- kisi.
grim	ks. 1 suram, seram, cemberut. 2 teguh, kuat. grim-visaged ks. bermuka cemberut.
grimace	kb. geringsing (muka). to (make a ) g. meringis, menyeringai.
grime	kb. lumur, debu yang melekat, kotoran.
grimy	ks. sangat kotor.
grin	kb. seringai, ringis. -kkt. (grinned) to g. approval tersenyum lebar tanda setuju. -kki. meringis, menyeringai. to g. and bear s.t. sanggup menahan sesuatu tanpa mengeluh.
grind	kb. 1 inf.: pekerjaan yang berat dan membosankan. 2 inf.: seorang yang tekun dalam belajar. -kkt. (ground). 1 menggerinda. 2 menggertakkan (teeth). 3 menggiling(wheat,grain). 4 mengisar, memutar. 5 mengasah. 6 menggilas-gilaskan. 7 melindas.
grinder	kb. 1 (alat) penggiling. 2 gerinda.
grindstone	kb. batu asahan, gerinda. to keep o's nose to the g. bekerja lama dan berat, bekerja keras dan tekun.
grip	kb. 1 pegangan. 2 genggaman, cengkaman. 3 cengkeraman. 4 koper kecil. -kkt. (gripped) 1 memegang erat-erat (an arm, railing, etc). 2 menarik sekali, memikat. 3 menyepit. -kki. pakem. -gripping (of a story, experience). ks. yang sangat menarik perhatian.
gripe	kb. keluhan. -kki. inf.: mengeluh, mengomel. -griping kb. omelan, keluhan, keluh-kesah.
griper	kb. tukang mengeluh.
grippe	kb. penyakit inpluensa.
grisly	ks. yang mengerikan. the g. remains sisa-sisa yang mengerikan.
grist	kb. biji padi-padian yang hendak atau telah digiling. everything he says is g. for his opponent's mill semua yang dikatakannya menguntungkan bagi pihak lawannya.
gristle	kb. tulang muda/rawan.
gristly	ks. liat.
grit	kb. 1 pasir atau kerikil yang halus. 2 ketabahan. -grits j. jagung giling kasar, bubur jagung. -kkt. (gritted) menggertakkan (the teeth).
gritty	ks. berpasir, seperti pasir. the spinach tastes g. bayam itu rasanya berpasir.
grizzled	ks. beruban.
grizzly	ks. g. bear semacam beruang yang sangat besar dan buas.
groan	kb. rintihan, erangan, resah. -kki. 1 merintih, mengerang. 2 berkeluh keberatan. -groaning kb. suara mengerang/merintih, erang, rintihan.
grocer	kb. penjual bahan makanan/ pangan.
grocery	kb. (j. -ries) toko penjual bahan makanan, toko pangan. = g. store. -groceries j. bahan makanan.
grogginess	kb. kepeningan, kepuyengan.
groggy	ks. pening, puyeng, terhuyung-huyung. i feel g. saya merasa puyeng.
groin	kb. kunci paha.
groom	kb. 1 pengantin/mempelai laki-laki. 2 tukang kuda. -kkt. mengurus, merawat (a horse). he is always well-groomed dia senantiasa kelihatan rapi sekali.that horse is well-groomed kuda itu dipelihara baik-baik.
groomsman	kb. (j. -men). laki-laki pengiring penganten laki-laki.
groove	kb. 1 alur, galur, lekuk. the grooves in a dirt road galur-galur pada jalan tanah.2 lurah. sl. in the g. berjalan baik. to get out of the g. meninggalkan pekerjaan sehari-hari. -kkt. menggalur, membuat alur. -grooved ks. beralur, berlekuk-lekuk.
groovy	ks. sl. menyenanglkan., manis (potongannya).
grope	kkt. 1 meraba-raba. to g. for a hand meraba-raba mencari tangan. 2 mencari-mencari. to g. for the proper word mencari-cari kata yang tepat.
gross	kb. 12 lusin, gros, 144. -ks. 1 kotor. 2 besar. 3 kasar. 4 bruto. 5 yang menyolok. -kkt. mendapat keuntungan kotor. g. ton = long ton. -grossly kk. terlalu, nyata sekali.
grotesque	ks. fantastis, aneh sekali.
grotto	kb. gua, ngalau.
grouch	kb. penggerutu, perengut. -kki menggerutu, mengeluh, merengut.
grouchy	ks. bersungut-sungut, yang menggerutu.
ground	lih grind.
groundbreaking	kb. pencangkulan pertama. g. -ceremony upacara pencangkulan (tanah) pertama.
groundless	ks. 1 tanpa dasar. her fears were g. ketakutannya tanpa dasar. 2 isapan jempol. that story is g. cerita itu isapan jempol belaka.
groundskeeper	kb. perawat gelanggang olahraga.
groundwork	kb. dasar. to lay the g. for... meletakkan dasar-dasar untuk..
group	kb. 1 kelompok, golongan. 2 grup. -kkt. menggolong-golongkan, membagi-bagi atas kelompok-kelompok. -kkt. berkumpul, mengelompok (around disekeliling, mengelilingi). -grouping kb. pengelompokan, penggrupan.
grouse	kb. sejenis burung belibis. -kki. mengomel. he's always grousing about s.t. ia senantiasa mengomel/menggerutu mengenai sesuatu.
grove	kb. belukar, hutan kecil. orange g. rumpun tanaman jeruk.
grovel	kki. merendahkan diri, menyembah-nyembah. to g. before s.o. menyembah-nyembah kepada seseorang, merendahkan diri dihadapan seseorang.
grow	kkt. (grew, grown) 1 menanam (vegetables). 2 memelihara. -kki. 1 tumbuh. 2 bertambah. 3 menjadi. -grown ks. yang sudah dewasa. grown-up kb. orang dewasa. -growing kb. pertumbuhan. ks. semakin meningkat.
grower	kb. penanam. rice g. penanam padi. that plant is a rapid g. tanaman itu tumbuhnya cepat.
