siangan	later in day (said before noon), earlier in afternoon (said at noon or later).
sianu	see si 1.
siap	1 ready, prepared. 2 finished, done. 3 (mil.) attention.
siap-siap	get ready.
siapa	who. siapa-saja 1 who all, name everyone who. 2 anyone at all.
siapa-siapa	whoever, just anyone.
siapuh	interjection expressing disappointment.
siar-siur	rustling sound.
siarah	1. see ziarah. 2. see bintang.
siaran	1 broadcast. 2 announcement 3 publication, issue. 4 circulation, spread.
siasat	1. 1) investigation. 2) tactics, strategy. 3) policy for achieving s.t. 2. (lit.) punishment.
sibak	part (in hair), a division.
siban	see si 2.
sibango	/siban-go/ see si 2.
sibar	1. 1) piece of cloth sewn as border. 2) porch or annex to house. 2 see sebar 2.
sibernetik	/sibernetika/ cybernetics.
sibir	(m) a small slice.
sibuk	busy.
sibur	ladle, scoop.
sibur-sibur	dragonfly.
sic	[surat ijin cetak] gvt. printing permit.
sicap	see si 2.
sice	complete set of living room fuirniture consisting of table and four chairs or table, settee, and some chairs.
siceng	see si 2.
sicerek	k.o. small shrub.
sidak	[inspeksi mendadak] surprise inspection (of gv.t. offices).
sidang	1 session, meeting. sidang-paripurna /pleno plenary session. sidang-gereja synod. 2 council, group. sidang-pembaca 1 the reading public. 2 the reader of a certain magazine, etc.
siddik	see fajar.
sidi	1 confirmation (protestant). 2 o. who has been confirmed.
sidik	1. investigation, examination. sidik-jari 1) finger print. 2) the study of finger prints. 2. see fajar.
sidomukti	(java) k.o. batik design of dark symmetrical patterns.
siduk	see cedok.
sifat	1 characteristic. 2 identifying feature. 3 nature, disposition. 4 (rel.) attribute (of god).
sifon	siphon.
sigai	(lit.) 1 pegs inserted in pole for climbing. 2 small ladder, peg ladder.
sigak	shoo ! exclamation used to drive away dogs.
sigap	efficient, always ready.
sigar	(java) a slice (of fruit that is split open).
sigi	1. torch. 2. pull out, pry out.
sigung	1. k.o. polecat. 2. see singgung.
sih	(coll.) 1 particle used to soften questions. 2 particle used to mark a topic. 3 you know ! particle to emphasize a reason given.
sihir	black magic, witchcraft.
sihiran	sorcery.
sihung	see siung 2.
siip	see sip.
siji	(jv) one.
sijil	certificate.
sijundai	magic charm that drives o. mad.
sik,siq	sikh.
sikap	1 attitude, demeanor. 2 posture.
sikat	1 brush. 2 (in some regions) comb. 3 rake out, harrow s.t. 4 (coll.) take away. 5 (coll.) wipe out, clean out. 6 (sport) defeat completely.
sikatan	stolen goods.
sikeras	see keras.
sikit	(coll.) see sedikit.
siklamat	cyclamate.
siklis	cyclical.
siklon	cyclone.
siklopedia	see ensiklopedi.
siklotron	cyclotron.
siklus	(tech.) cycle.
sikon	/si-kon/ [situasi dan kondisi] situation and conditions, circumstances.
sikongkol	see kongkol.
siksa	torture.
