erot	1. distorted, wry (of face). 2. ber-erot in a row, following exactly in e.o.'s traces.
erotik	1 eroticism. 2 erotic.
erotis	erotic.
erpah	land leased on a long-term basis.
erpekad	see rpkad.
erte	see rt.
erti	(me)ng-erti 1 understand. 2 (java) know.
eru	the australian pine (casuarina sp.).
erwe	see rw 2.
es	1 ice. es balok/batang block of ice. es-batu ice cube. es-serut shaved ice. 2 confection or drink with ice. es-campur iced mixed with fruits and syrup. es-teler iced fruit-cocktail with topping of condensed milk. es-lilin/loli/mambo/ roli popsicle.
esa,esa	(lit.) single, one.
esah	see sah 1.
esak	sakit-esak be short of breath.
esang	see kesang.
esde	see sd.
esei	essay.
eseis	essayist.
esek	see demam.
eselon	1 echelon. 2 (mil.) echelon, battle-array.
esema	see sma.
esembling	see asembling.
esempe	see smp.
esens	essence, odor, scent.
esensi	essence, quintessence, gist.
esensiil	essential.
eser	see sr.
eset	see ez.
esha	see sh.
eskadron	squadron.
eskalasi	escalation.
eskas	icebox, refrigerator.
eskatologi	eschatology.
eskatologis	eschatological.
eslandia	iceland.
esok	tomorrow, the next day.
esot	see ingsut.
espos	see ekspos.
espres	see ekspres.
esrar	see tanda.
estafet,estapet	(sport) relay race.
estetika	aesthetics.
estetis	aesthetic.
et	see eit.
etalage,etalase	shop window.
etatisme	statism.
etek	1. ng-etek crave. 2. (m) term of address for mother's younger sister.
eter	1 ether, upper air. 2 (med.). ether.
eternit	plasterboard.
ethika,etik,etika	ethics.
etiket	1. label (on bottle, etc.). 2. etiquette.
etimologi	etimology.
etiologi	etiology.
etis	ethical.
etnis	ethnic.
etnisitas	ethnicity.
etnografi	ethnography.
etnolinguistik	ethnolinguistics.
etnologi	ethnology.
etnologis	ethnological.
etos	ethos, ethics.
etsa	etch.
evakuasi	evacuation.
evaluasi	evaluation.
evaluir	meng-evaluir evaluate facts, etc.
evangelis	1 evangelist. 2 evangelical.
evangelisasi	evangelization.
evolusi	evolution.
ewa	(java) averse, unwilling.
ewe	(vulg.) meng-, ng-ewe copulate, have sexual intercourse.
ex	see also entries with eks.
eyang	(java) term of addres and reference for grandparent.
eyd.	(ejaan yang disempurnakan) official indonesian and malaysian spelling system since 1972.
eyel	obstinate in argument.
ez,ez,e-zet,ezet	(economische zaken) ministry of economic affairs (in colonial period).
f	f, the 6th letter of the alphabet.
fa	(firma) firm.
faal	1. 1) deed, work . 2) (med.) function, action (of body, organs, etc.). 2. sign, omen.
faali	physiological.
fabel	fable.
fabrik	see pabrik.
fabrikan	maker, manufacturer.
fabrikasi	manufacture, product.
fadihat	disgrace, shame, ignominy.
fadil	prominent, eminent, famous.
fadilat,fadzilat	excellence, prominence.
faedah	use, benefit, profit.
faham	see paham.
failasuf	see filsuf.
failit	see fayit.
fait-accompli	(fetakompli) fait accompli.
fajar	dawn.
fakih	(islam) expert in canon law.
fakir	1 poor, destitute, indigent. muslim or hindu religious mendicant.
fakta	fact.
faktor	1 factor, element. 2 (math.) factor.
faktual,faktuil	factual.
faktur	invoice.
fakultas	school of a university, faculty.
fakultatif,fakultatip	optional.
fakultet	see fakultas.
falak	1 celestial sphere. 2 (outer) space.
falsafah,falsafat	1 philosophy, philosophical system.
falsafi	philosophical.
fam	family name (esp. in e. indonesia).
famili	1 relative. 2 family.
familial	familylike.
familier	1 accustomed, used to doing. 2 intimate. 3 have an intimate or homelike atmosphere.
fana	1 transitory, fleeting. 2 perishable.
fanatik	adhering strictly to a religion.
fanatisme	fanaticism.
fani	perishable.
fantasi	1 fantasy, illusion, fancy. 2 imagination. 3 fancy.
fantastis	fantastic.
faraid,faraidz	(islam) law of inheritance.
faraj	see farji.
fardhu,fardu	1 obligatory. 2 (islam) religious obligation.
faring	(anat.) pharynx.
farji	vulva.
farmakologi	pharmacology.
farmakope	pharmacopoeia.
farmasi	pharmacy, drugstore.
fasal	see pasal.
fase	phase.
faset	facet.
fasid	imperfect.
fasih	1 fluent. 2 eloquent, quick-witted. 3 glib.
fasihat	eloquence.
fasik	godless, atheistic.
fasilita	/fasilitas/ facilities or conveniences put at o.'s service.
fasis	fascist.
fasisme	facism.
fatal	fatal.
fatalis	fatalist.
fatalisme	fatalism.
fatehah	see alfatihah.
fatsal	see pasal.
fatwa	1 (islam) a binding ruling in religious matters. 2 instructions, guidance of an order person.
favorit	favorite.
fayit	bankrupt.
fe	(fakultas ekonomi) school of economics.
feb	(februari) february.
februari	february.
federal	federal.
federalis	federalist.
federalisme	federalism.
federalistis	federalistic.
federasi	federation.
felbet	cot.
feminin	feminine
feminisme	feminism.
fener	see fineer.
fenomena,fenomin	phenomenon.
fentilasi	see ventilasi.
feodal	feudal.
feodalisme	feudalism.
feodalistis	feudalistic.
feri	ferry.
fermentasi	fermentation.
fertilitas	fertility.
festival	festival.
fetsin	see vetsin.
fh	(fakultas hukum) school of law.
fhipk,fhpk	(fakultas hukum dan (ilmu) pengetahuan kemasyarakatan) school of law and social sciences.
fiasko	fiasco.
figur	1 figure, shape. 2 figure, personage (in a story).
figura	see pigura.
figuran	supernumerary (actor or actress), extras (in a movie).
fihak	see pihak.
fikh	see fiqh.
fikir	pikir.
fiksi	fiction.
fiktif	fictitious.
filamen	filament.
filantrop	philanthropist.
filantropi	philanthropy.
