spotlight	kb. 1 lampu sorot. to be in the s. manjadi pusat perhatian umum. 2 lampu pinggir (on cars). -kkt. menyoroti.
spotter	kb. 1 tukang penghapus noda. 2 peninjau, pengintai.
spotty	ks. 1 bernoda (of clothing). 2 kadang-kadang baik, kadang-kadang buruk ; turun-naik (of grades, performance).
spouse	kb. 1 suami. 2 isteri.
spout	kb. corot, cerat (of pitcher, kettle). -kkt. 1 menyemburkan (abuse, obscenities). 2 menyemprotkan (water). -kki. memancar.
sprag	kkt. (spragged) mengganjal, menggalang.
sprain	kb. keseleo. -kkt. keseleo, terpelecok. he sprained his ankle mata kakinya keseleo.
sprang	lih spring.
sprawl	kb. kedudukan lintang pukang. -kki. terlentang, menggeletak (on the grass). the blow sent him sprawling pukulan itu membuat dia tergeletak.
spray	kb. 1 percikan, semrotan (of water). s. gun alat semprot, semprotan. 2 setangkai (of flowers). 3 (wind-blown) buih. 4 obat penyemrotan. -kkt. 1 menyemrot (trees, o's throat). 2 memberondongi (with bullets). -spraying kb. penyemprotan.
sprayer	kb. semprotan, (alat penyemprot).
spread	kb. 1 lebarnya (of wings). 2 penyebaran (of information). 3 penjalaran (of a disease). 4 perbedaan between income and expenditures). 5 (meal) makan besar. 6 olesan, lumuran, pulasan (of cheese).
spread-eagle	berbaring dengan kaki terkangkang dan tangan terlentang di atas tanah. -spreading kb. 1 menjalarnya, penjalaran (of disease). 2 perkembangan (of knowledge).
spreader	kb. 1 penyebar (of knowledge, disease). 2 alat penyebar (of fertilizer). 3 pengoles, pemulas (of butter).
spree	kb. pelesir. to go on a shopping s. pergi berbelanja sambil bersuka-ria.
sprier	lih spry.
spriest	lih spry.
sprig	kb. ranting, tangkai.
sprightly	ks. 1 sigap. 2 riang gembira.
spring	kb. 1 musim semi. 2 sumber, mata air. 3 per, pegas. (watch, auto). -kkt. (sprang, sprung) 1 membocorkan, meretakkan (a wall). 2 membuka, melepaskan (a lock). spring-cleaning kb. pembersihan rumah dalam musim semi. -sprung ks. rusak.
springboard	kb. batu loncatan.
springiness	kb. kekuatan pelenting, daya melenting/memegas.
springtime	kb. musim semi.
springy	ks. elastis.
sprinkle	kb. 1 penetasan (of rain). 2 penghamburan (of papper). -kkt. 1 menaburkan, menghamburkan (dirt). 2 memerciki, menyirami (the lawn). 3 membubuhi (pepper on s.t.). 4 tersebar. -kki. gerimis, hujan rintik-rintik.
sprinkler	kb. 1 alat penyiram (in yard). 2 alat penyembur api (against fire).
sprinkling	kb. 1 sedikit olesan (of mayonnaise). 2 penyiraman. 3 beberapa.
sprint	kb. lomba lari jarak pendek, lari cepat. to make a s. for the door melompat lari kearah pintu. -kki. berlari secepat-cepatnya.
sprinter	kb. pelari (dalam lomba lari).
sprite	kb. bidadari, peri.
sprocket	kb. gigi jentera.
sprout	kb. 1 taoge. 2 rebung. -kkt. memakai (whiskers, wings). -kki. 1 bertunas (of plants). 2 tumbuh meninggi (of a child).
spruce	kb. sejenis pohon cemara. -kkt. to s. o.s. up berdandan dengan rapi, merapikan diri.
sprue	kb. seriawan, guam.
sprung	lih spring.
spry	ks. (sprier, spriest) 1 giat, sigap, gesit. 2 bersemangat.
spud	kb. inf.: kentang.
spun	lih spin.
spunk	kb. 1 keberanian. she has a lot of s. dia seorang wanita pemberani. 2 semangat.
spunkiness	kb. keberanian.
spunky	ks. 1 berani. 2 bersemangat.
spur	kb. 1 taji (of a cock). 2 pacu (of horseman). 3 rr.: cabang rel kereta api. -kkt. (spurred) 1 menerjang dengan taji. 2 memacu (a horse). he was spurred on by his teacher dia didorong oleh gurunya. s.line/track simpang jalan kereta api.
spurious	ks. palsu, lancung.
spurn	kkt. menolak (dengan angkuhnya).
spurt	kb. 1 semburan (of liquid). 2 dorongan. -kkt. menyemburkan, menyemprotkan (blood). -kki. 1 menyembur (of a liquid). 2 berlari dengan cepat.
sputnik	kb. sputnik.
sputter	kki. 1 memercik (of grease in a pan). 2 menggerutu, bercakap dengan menggagap. kb. 1 bunyi yang merepet/berdesis (of an engine). 2 bunyi yang berdesis (of grease).
sputum	kb. 1 dahak. 2 air liur/ludah.
spy	kb. (j. spies) mata-mata. -kkt. (spied) melihat. i spied him in the mirror saya melihatnya didalam cermin. -spying kb. spionase. he was hanged for s. dia digantung karena menjadi mata-mata.
spyglass	kb. keker.
sq.	[square) (empat) persegi . 2 [squadron] skwadron.
sq. ft.	[square foot/feet] kaki persegi.
squab	kb. anak burung dara, burung dara muda.
squabble	kb. pertengkaran, percekcokan. -kki bertengkar, bercekcok. to s. over s.t mempertengkarkan sesuatu. -squabbling kb. pertengkaran, percekcokan.
squabbler	kb. orang yang bertengkar.
squad	kb. 1 mil.: regu. rescue regu penolong. 2 pasukan (of police). s. car mobil patroli/polisi.
squadron	kb. skwadron.
squalid	ks. jorok, jembel. s. quarters perumahan yang jorok.
squall	kb. 1 hujan badai yang turun mendadak. 2 angin keras yang mendadak. snow s. hujan badai salju. -kkt. berteriak, menangis sambil berteriak-teriak.
squalor	kb. kejorokan, kejembelan, kemelaratan.
squander	kkt. menghabiskan dengan sia-sia. to s. money menghamburkan uang.
squanderer	kb. orang yang membuang - buang / menghambur-hamburkan.
square	kb. 1 kwadrat, (empat) persegi. 2 sl.: seorang yang konvensionil, orang yang ketinggalan zaman mengenai mode. 3 (village) alun-alun. 4 hasil perkalian. 5 lapangan persegi.
squarely	kk. 1 secara jujur. to win fairly and s. betul-betul menang secara jujur. 2 tepat. to shoot s. between the eyes menembak tepat diantara matanya.
squash	kb. 1 semacam labu, semacam ketela, gambas. 2 sport : permainan bola dan raket. 3 krus. orange s. oranye krus. -kkt. 1 meremas, melumatkan (cookies). 2 (stop) menghentikan. 3 menundukkan (in debate).
squashy	ks. becek, berlumpur (of ground).
squat	kb. berjongkok. -ks. lontok, pendek dan gemuk. -kkt. (squatted) 1 berjongkok, bertanggek. 2 menduduki tanah (on a piece of land).
squatter	kb. penghuni liar. squatter's right hak penduduk atas tanah bagi penghuini liar.
squatty	ks. lontok, pendek dan gemuk.
squaw	kb. wanita indian.
squawk	kb. 1 inf.: keluhan, omelan (about low pay). 2 kuak (of fowl). -kki. 1 inf.: (complain) mengeluh, mengomel. 2 berkuak (of a chicken). 3 sl.: mengakui (to the police).
squeak	kb. 1 cicit, decit (of a mouse). 2 ciutan (of brakes, a door). -kki. 1 bercicit, mencicit (of a mouse). 2 mengerik (of a door, a pen). 3 berkecut-kecut (of a wheel which needs oil). -squeaking kb. 1 bunyi yang berdecit-decitan (of a mouse). 2 ciutan.
squeaker	squeaker
squeaky	squeaky
squeal	kb. 1 pekik (of delight). 2 jeritan (of complaint). 3 dengking (of a pig). -kki. 1 menjerit, memekik (of a person). 2 berdengking, mendengking (of a pig).
squealer	kb. 1 orang atau hewan/barang yang berteriak/berjerit. 2 (pig) anak babi.
squeamish	ks. berpilih-pilih.
squeegee	kb. alat penyapu/pembersih air terbuat dari karet.
squeeze	kb. 1 tekanan. 2 tiruan. 3 pemerasan. -kkt. 1 memeras (money from s.o., fruit). 2 memencetr, meremas (a kitten). 3 menyelipkan. 4 memeluk, mendekap (a child in o's arms). -kki. diperas.
squeezer	kb. pemeras. lemon s. pemeras jeruk.
