jentik	jentik-jentik mosquito larva.
kacoa	/kacoak/ cockroach.
kacokan	see kacukan.
kacu	1. handkerchief. 2. coagulated areca nut juice used in leather tanning.
kacuk	meng-kacuk mix, put in disorder, muddle.
kacung	1 lad, boy. 2 errand boy, houseboy.
kada	(islam) 1 divine decree. 2 make up for unobserved days of fasting month or for missing o. of obligatory prayers.
kadal	k.o. lizard.
kadaluarsa	/kadaluwarsa/ see kedaluwarsa.
kadam	see khadam.
kadang	1. sometime. kadang-kala occasionally, once in a while. 2. meng-kadang-nasi skim water off the surface of rice to hasten cooking. 3. blood relationship.
kadar	1. 1) degree, content. 2) standard, level, amount. 3) value, quality. 4) fate. 2. meng-kadar sleep outdoors.
kadas	k.o. skin fungus causing white blotches.
kadaster	real estate registry.
kadaver	1 cadaver. 2 dead and uninspired.
kade	quay.
kader	1 cadre. 2 framework.
kadera	(e. indonesia) chair.
kaderisasi	forming of cadres.
kades	[kepala desa] village head.
kadet	1. 1) cadet. 2) midshipman. 2. pickpocket. 3. k.o. white bread or roll.
kadi	1 (islam) judge in religious court. 2 arbiter, referee.
kadim	1. eternal. 2. close, intimate.
kadin	[kamar dagang industri] the chamber of commerce and industry.
kadinda	[kamar dagang dan industri daerah] the provincial chamber of commerce and industry.
kadipaten	(in the colonial period) area ruled over by an adipati.
kadir	almighty.
kado	gift, present.
kadok	1. long pepper leaf used as a substitute for the betel leaf. 2. see kada.
kadung	(java) 1 go too far, overdo. 2 take an irrevocable step o. should not.
kadut	1 sack, bag. 2 sacking.
kaedah	see kaidah.
kaf	the letters k and q in the arabic alphabet.
kafan	see kapan 2.
kafarat	see keparat 1.
kafe	cafe.
kafein	caffeine.
kafetaria	small restaurant with a limited menu us. in a school or workplace.
kafilah	1 desert caravan. 2 (mil.) convoy, column, contingent.
kafir	infidel, unbeliever.
kaftan	k.o. cloak.
kagak	(jakarta) no, not.
kaget	startled, shocked.
kagok	1 clumsy, awkward (esp. in feeling o. is doing s.t. improper). 2 speaking a language with a foreign or dialectal accent.
kagol	frustrated.
kagum	amazed, struck with amazement and admiration.
kah	birdlime, glue.
kahaf	(lit.) cave.
kahan	proboscis monkey.
kahar	1. k.o. vehicle pulled by a draft animal. 2. all-powerful.
kahat	scarcity, famine.
kahin	soothsayer, diviner.
kahiyangan	see kayangan.
kahot	old-fashioned, ancient.
kahrab	amber.
kahwa	(lit.) the beverage coffee.
kahwin	see kawin.
kahyangan	see kayangan.
kaidah	1 norm, rule. 2 principle. 3 theorem.
kaifiat	quality.
kail	meng-kail fish with hook and line. peng-kail angler.
kail-kail	tonsilitis.
kaimat	quantity.
kain	1 cloth, fabric, material. 2 sarong.
kaing	yelp with (of dogs).
kais	scratch, scrape for food (of chickens, etc.).
kaisar	1 emperor. 2 caesar. ke-kaisar-an empire.
